dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high
kitti,yolo11x,motion_blur,3,area,1496,0.014363278419793013,0.0053581534887996995,-0.0035897308928615327,0.0051425233789513525,0.013420192672597841,-0.015224019912834341,0.01664560802613302,-0.03186962793896736,-0.05400299160670758,-0.028819656909386926,0.007513511901009036
kitti,yolo11x,motion_blur,5,area,1496,0.014363278419793013,-0.011773213847153463,-0.017413176207880833,-0.011883809625130859,-0.0062663964509779395,-0.037059857200090085,0.007662535870762488,-0.04472239307085257,-0.06149081322663475,-0.043960853436163794,-0.027944303907840914
tt100k,yolo11m,fog,1,tt100k-height,3067,0.014298670587871265,0.00771834417581696,-0.010555196400649253,0.004857478653788494,0.02054998514642569,-0.001520336695331359,-0.0002565892934660585,-0.0012637474018653005,-0.032620008720559306,-0.005001641829588066,0.019827714032834752
tt100k,yolo11m,fog,3,tt100k-height,3067,0.014298670587871265,0.012811076169304991,-0.01183331090181064,0.006963212712340794,0.02393332830966884,-0.0032828808164122036,-0.008919603195740256,0.005636722379328052,-0.02568616498669631,0.002597237542243336,0.03161650685410283
tt100k,yolo11m,fog,5,tt100k-height,3067,0.014298670587871265,0.01589452101035127,-0.008800715650330488,0.012591672018328004,0.031386493376111116,0.0067156017330397,0.012169843217728404,-0.005454241484688704,-0.03879010169850923,-0.00615284533806057,0.027821385254633135
tt100k,yolo11m,gaussian_noise,1,tt100k-height,3067,0.014298670587871265,0.028174947919689886,0.004850246759137223,0.022722382417382392,0.04151532198321364,1.9155321767605482e-05,0.013690164063852261,-0.013671008742084656,-0.0436161733951067,-0.010945749598686522,0.021225407801233047
tt100k,yolo11m,gaussian_noise,3,tt100k-height,3067,0.014298670587871265,0.014510051517243439,-0.0014910694948197314,0.0147512136696413,0.031371295980362215,0.010170239257507041,-0.0017888820973632757,0.011959121354870317,-0.027627316502254987,0.006600127577824189,0.04036990709218304
tt100k,yolo11m,gaussian_noise,5,tt100k-height,3067,0.014298670587871265,-0.012058136704369726,-0.027704641593512557,-0.012868265164746928,0.002531374674802491,-0.046130116435420254,-0.011520467712029636,-0.03460964872339062,-0.06772343137811974,-0.03902763377987839,-0.01249994363147818
tt100k,yolo11m,jpeg,1,tt100k-height,3067,0.014298670587871265,0.00925688155889448,-0.00586457102736439,0.00938476926765519,0.023767986534616356,-0.009341558694751173,0.007249632894070102,-0.016591191588821275,-0.04336009235484856,-0.016342440014105314,0.012871860431299221
tt100k,yolo11m,jpeg,3,tt100k-height,3067,0.014298670587871265,0.006701178171537037,-0.012357805286355768,0.003965445151472791,0.01954319421398075,-0.017802722529271786,0.0023769407122878894,-0.020179663241559676,-0.05318541449088673,-0.023044113104722014,0.007420896640550643
tt100k,yolo11m,jpeg,5,tt100k-height,3067,0.014298670587871265,-0.029030642271261453,-0.04595985849904152,-0.022715980652125517,0.0014218027438030524,-0.02876875458442346,-0.03854930586221594,0.009780551277792482,-0.05247494344621316,-0.009624382265950054,0.02927488768832123
