dataset,model,precision,corruption,severity,ap
voc,retinanet-r50-fpn-v2,fp8,jpeg,3,0.5245657273021027
voc,retinanet-r50-fpn-v2,fp8,jpeg,5,0.43373020999133644
voc,retinanet-r50-fpn-v2,fp8,motion_blur,1,0.43396244455977884
voc,retinanet-r50-fpn-v2,fp8,motion_blur,3,0.16386783939501956
voc,retinanet-r50-fpn-v2,fp8,motion_blur,5,0.054059401632876605
voc,retinanet-r50-fpn-v2,int8-entropy,clean,0,0.336050264578968
voc,retinanet-r50-fpn-v2,int8-entropy,fog,1,0.37568795480913214
voc,retinanet-r50-fpn-v2,int8-entropy,fog,3,0.40563263877359723
voc,retinanet-r50-fpn-v2,int8-entropy,fog,5,0.4014466030043128
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,1,0.3035191302135813
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,3,0.2223352156884476
voc,retinanet-r50-fpn-v2,int8-entropy,gaussian_noise,5,0.09843686991542581
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,1,0.3134645253043997
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,3,0.2881558733893446
voc,retinanet-r50-fpn-v2,int8-entropy,jpeg,5,0.20632359142133438
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,1,0.22949241096960213
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,3,0.05647851574418924
voc,retinanet-r50-fpn-v2,int8-entropy,motion_blur,5,0.017770015029392915
voc,rtdetr-l,fp32,clean,0,0.7048094230440548
voc,rtdetr-l,fp32,fog,1,0.700583091353978
voc,rtdetr-l,fp32,fog,3,0.6952184167746525
voc,rtdetr-l,fp32,fog,5,0.6910716122166414
voc,rtdetr-l,fp32,gaussian_noise,1,0.6886778916466678
voc,rtdetr-l,fp32,gaussian_noise,3,0.627726076887989
voc,rtdetr-l,fp32,gaussian_noise,5,0.46924641023627867
voc,rtdetr-l,fp32,jpeg,1,0.6986778228212661
voc,rtdetr-l,fp32,jpeg,3,0.684633419414089
voc,rtdetr-l,fp32,jpeg,5,0.5900666815685018
voc,rtdetr-l,fp32,motion_blur,1,0.6471902365011005
voc,rtdetr-l,fp32,motion_blur,3,0.38309231444945124
voc,rtdetr-l,fp32,motion_blur,5,0.14926188424112746
voc,rtdetr-l,fp8,clean,0,0.7009840499843304
voc,rtdetr-l,fp8,fog,1,0.6953939007189028
voc,rtdetr-l,fp8,fog,3,0.6904866867268517
voc,rtdetr-l,fp8,fog,5,0.686252596416498
voc,rtdetr-l,fp8,gaussian_noise,1,0.6854572084202537
voc,rtdetr-l,fp8,gaussian_noise,3,0.6258462383553618
voc,rtdetr-l,fp8,gaussian_noise,5,0.4743980439133339
voc,rtdetr-l,fp8,jpeg,1,0.6953679070717048
voc,rtdetr-l,fp8,jpeg,3,0.6808136827717147
voc,rtdetr-l,fp8,jpeg,5,0.5839907359807615
voc,rtdetr-l,fp8,motion_blur,1,0.6475604419518228
voc,rtdetr-l,fp8,motion_blur,3,0.38066599527376765
voc,rtdetr-l,fp8,motion_blur,5,0.14687174701504382
voc,rtdetr-l,int8-entropy,clean,0,0.01290434051559418
voc,rtdetr-l,int8-entropy,fog,1,0.010711497297595405
voc,rtdetr-l,int8-entropy,fog,3,0.010090589977893695
voc,rtdetr-l,int8-entropy,fog,5,0.008582829201227719
voc,rtdetr-l,int8-entropy,gaussian_noise,1,0.008608323037197914
voc,rtdetr-l,int8-entropy,gaussian_noise,3,0.004913159512228078
voc,rtdetr-l,int8-entropy,gaussian_noise,5,0.0022535825460080917
voc,rtdetr-l,int8-entropy,jpeg,1,0.010249324392272613
voc,rtdetr-l,int8-entropy,jpeg,3,0.007778978747426477
voc,rtdetr-l,int8-entropy,jpeg,5,0.004573296617992347
voc,rtdetr-l,int8-entropy,motion_blur,1,0.004960162778380098
voc,rtdetr-l,int8-entropy,motion_blur,3,0.000493069066792531
voc,rtdetr-l,int8-entropy,motion_blur,5,0.00012190772523272134
