dataset,model,corruption,severity,endpoint_type,n_images,delta_q_all,delta_e_all,delta_e_ci_low,delta_e_ci_median,delta_e_ci_high,delta_e_small,delta_e_large,delta_psi,delta_psi_ci_low,delta_psi_ci_median,delta_psi_ci_high,clean_gap_ap,adjusted_interaction_ap,raw_corrupt_gap_ap,min_corrupt_ap
kitti,yolo11x,motion_blur,1,area,1496,0.0143632784,0.0074367023,-0.0014420471,0.0070243175,0.0143652321,0.0049295461,0.0065707260,-0.0016411798,-0.0182810476,-0.0014931244,0.0162127527,1.4363278420,0.7436702259,2.1799980679,68.2881300538
kitti,yolo11x,motion_blur,3,area,1496,0.0143632784,0.0053581535,-0.0035897309,0.0051425234,0.0134201927,-0.0152240199,0.0166456080,-0.0318696279,-0.0540029916,-0.0288196569,0.0075135119,1.4363278420,0.5358153489,1.9721431909,31.9456715942
kitti,yolo11x,motion_blur,5,area,1496,0.0143632784,-0.0117732138,-0.0174131762,-0.0118838096,-0.0062663965,-0.0370598572,0.0076625359,-0.0447223931,-0.0614908132,-0.0439608534,-0.0279443039,1.4363278420,-1.1773213847,0.2590064573,7.2585352876
tt100k,yolo11m,fog,1,tt100k-height,3067,0.0142986706,0.0077183442,-0.0105551964,0.0048574787,0.0205499851,-0.0015203367,-0.0002565893,-0.0012637474,-0.0326200087,-0.0050016418,0.0198277140,1.4298670588,0.7718344176,2.2017014764,51.7495471476
tt100k,yolo11m,fog,3,tt100k-height,3067,0.0142986706,0.0128110762,-0.0118333109,0.0069632127,0.0239333283,-0.0032828808,-0.0089196032,0.0056367224,-0.0256861650,0.0025972375,0.0316165069,1.4298670588,1.2811076169,2.7109746757,51.6047940887
tt100k,yolo11m,fog,5,tt100k-height,3067,0.0142986706,0.0158945210,-0.0088007157,0.0125916720,0.0313864934,0.0067156017,0.0121698432,-0.0054542415,-0.0387901017,-0.0061528453,0.0278213853,1.4298670588,1.5894521010,3.0193191598,51.1023235475
tt100k,yolo11m,gaussian_noise,1,tt100k-height,3067,0.0142986706,0.0281749479,0.0048502468,0.0227223824,0.0415153220,0.0000191553,0.0136901641,-0.0136710087,-0.0436161734,-0.0109457496,0.0212254078,1.4298670588,2.8174947920,4.2473618508,47.4934578513
tt100k,yolo11m,gaussian_noise,3,tt100k-height,3067,0.0142986706,0.0145100515,-0.0014910695,0.0147512137,0.0313712960,0.0101702393,-0.0017888821,0.0119591214,-0.0276273165,0.0066001276,0.0403699071,1.4298670588,1.4510051517,2.8808722105,27.1015039651
tt100k,yolo11m,gaussian_noise,5,tt100k-height,3067,0.0142986706,-0.0120581367,-0.0277046416,-0.0128682652,0.0025313747,-0.0461301164,-0.0115204677,-0.0346096487,-0.0677234314,-0.0390276338,-0.0124999436,1.4298670588,-1.2058136704,0.2240533884,7.7042531195
tt100k,yolo11m,jpeg,1,tt100k-height,3067,0.0142986706,0.0092568816,-0.0058645710,0.0093847693,0.0237679865,-0.0093415587,0.0072496329,-0.0165911916,-0.0433600924,-0.0163424400,0.0128718604,1.4298670588,0.9256881559,2.3555552147,51.1579827829
