dataset,model,precision,corruption,severity,endpoint_type,endpoint,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11m,fp8,jpeg,3,coco-area,large,0.6598306786538152,0.5815722440927833,0.07825843456103188,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,d5e0a8fc95003a23f5f649a1894e1e038bdb3007d6af7d73fc946081ae92a777
coco,yolo11m,int8-entropy,jpeg,5,coco-area,small,0.31157072499655547,0.08101002986320646,0.230560695133349,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,83ce37ad00d76c8cf722df56e921ee256ed1c3b292d9d2e43e9289894bc7505e
coco,yolo11m,int8-entropy,jpeg,5,coco-area,large,0.6302079858991781,0.22300833939627107,0.4071996465029071,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,83ce37ad00d76c8cf722df56e921ee256ed1c3b292d9d2e43e9289894bc7505e
coco,yolo11m,fp8,jpeg,5,coco-area,small,0.32326449878055546,0.08720122233141253,0.23606327644914293,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,b1738a058ef810b698cd815d631bea6c742cb7241ba2c4c8f153968a0ceb2159
coco,yolo11m,fp8,jpeg,5,coco-area,large,0.6598306786538152,0.24535813880437438,0.41447253984944077,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,b1738a058ef810b698cd815d631bea6c742cb7241ba2c4c8f153968a0ceb2159
coco,yolo11m,int8-entropy,motion_blur,1,coco-area,small,0.31157072499655547,0.1987457868490809,0.11282493814747457,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,e983946fd7c185f11d7e358355f94434a6af1323482485b98882833965da00f2
coco,yolo11m,int8-entropy,motion_blur,1,coco-area,large,0.6302079858991781,0.598923536634675,0.031284449264503134,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,e983946fd7c185f11d7e358355f94434a6af1323482485b98882833965da00f2
coco,yolo11m,fp8,motion_blur,1,coco-area,small,0.32326449878055546,0.21908347633643319,0.10418102244412228,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,4f0ec99b08c6d2759579ebe29a1081043794bb7ba34f5482b9457773d4f4ff4f
coco,yolo11m,fp8,motion_blur,1,coco-area,large,0.6598306786538152,0.6359680376157673,0.023862641038047916,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,4f0ec99b08c6d2759579ebe29a1081043794bb7ba34f5482b9457773d4f4ff4f
coco,yolo11m,int8-entropy,motion_blur,3,coco-area,small,0.31157072499655547,0.044495588338835566,0.2670751366577199,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,22d85505fa1cddb92ed5a2da451be1bab6df3ddf04886d0e25897604500aabd8
coco,yolo11m,int8-entropy,motion_blur,3,coco-area,large,0.6302079858991781,0.3964805054270635,0.23372748047211467,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,22d85505fa1cddb92ed5a2da451be1bab6df3ddf04886d0e25897604500aabd8
coco,yolo11m,fp8,motion_blur,3,coco-area,small,0.32326449878055546,0.05125314716717842,0.27201135161337703,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,b0aba616ad5ff5980a4e50105d8bf13d58a86ca29d8ec91b3767dc02d54a98d0
coco,yolo11m,fp8,motion_blur,3,coco-area,large,0.6598306786538152,0.4602585626378529,0.19957211601596225,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,b0aba616ad5ff5980a4e50105d8bf13d58a86ca29d8ec91b3767dc02d54a98d0
coco,yolo11m,int8-entropy,motion_blur,5,coco-area,small,0.31157072499655547,0.009085173364250083,0.3024855516323054,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6806424efb7a9ec21d8a3a26456f9ec92a4f4ad42205375c6890973d8c11d666
coco,yolo11m,int8-entropy,motion_blur,5,coco-area,large,0.6302079858991781,0.18777344725370773,0.44243453864547044,d42e7029b121dc78f82aad119e55c50987d06e2e82949fdb34c019a1e4a2731d,6806424efb7a9ec21d8a3a26456f9ec92a4f4ad42205375c6890973d8c11d666
coco,yolo11m,fp8,motion_blur,5,coco-area,small,0.32326449878055546,0.010204535567164509,0.31305996321339097,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,bae73cd826d6a83024beb6e2ec0161c0521e988294a51a0d57f2d3dd428d1703
coco,yolo11m,fp8,motion_blur,5,coco-area,large,0.6598306786538152,0.23452036941129778,0.4253103092425174,3b99b00c4fe96f3c2949e82dd942fc23470640b1a14ab3097061df084f8586e1,bae73cd826d6a83024beb6e2ec0161c0521e988294a51a0d57f2d3dd428d1703
coco,yolo11n,int8-entropy,fog,1,coco-area,small,0.17863356026601016,0.17314035677926015,0.0054932034867500035,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,f3e4ed19e271c63308c6cacdf341f8305eb751e9e0427e21425dc55bf7df41fd
coco,yolo11n,int8-entropy,fog,1,coco-area,large,0.5451938957193468,0.5362862892061068,0.008907606513240074,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,f3e4ed19e271c63308c6cacdf341f8305eb751e9e0427e21425dc55bf7df41fd
coco,yolo11n,fp8,fog,1,coco-area,small,0.18906450018136642,0.18689978348720931,0.002164716694157104,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,06ba82301c9a4105e5baa7a2087439c337dffcdf9ba962f553751d384c221f0d
coco,yolo11n,fp8,fog,1,coco-area,large,0.5507655944762213,0.5383413646691441,0.012424229807077247,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,06ba82301c9a4105e5baa7a2087439c337dffcdf9ba962f553751d384c221f0d
coco,yolo11n,int8-entropy,fog,3,coco-area,small,0.17863356026601016,0.1656593113613379,0.012974248904672248,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6f5c245ed7699e36706974ca278ee5121878d1158093768fc556cc21df6ff38e
coco,yolo11n,int8-entropy,fog,3,coco-area,large,0.5451938957193468,0.5222618338419658,0.02293206187738106,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6f5c245ed7699e36706974ca278ee5121878d1158093768fc556cc21df6ff38e
coco,yolo11n,fp8,fog,3,coco-area,small,0.18906450018136642,0.18070174324529326,0.008362756936073162,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4bd5fb6994993d015cb12bd76495e20cffc8cb25bbb70fd93087444f0f61d208
coco,yolo11n,fp8,fog,3,coco-area,large,0.5507655944762213,0.5261176782112326,0.024647916264988745,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4bd5fb6994993d015cb12bd76495e20cffc8cb25bbb70fd93087444f0f61d208
coco,yolo11n,int8-entropy,fog,5,coco-area,small,0.17863356026601016,0.16260459166625701,0.01602896859975314,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,674c011135ecebf850d790b76908cb6112c64f79dfcc4cbe710c8ebda3654cfd
coco,yolo11n,int8-entropy,fog,5,coco-area,large,0.5451938957193468,0.5069979131243152,0.03819598259503165,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,674c011135ecebf850d790b76908cb6112c64f79dfcc4cbe710c8ebda3654cfd
coco,yolo11n,fp8,fog,5,coco-area,small,0.18906450018136642,0.1752365722035125,0.013827927977853927,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,e8b38b2131d86e93d6f4a71d4a3f71712ed9607f2fd1c85bf53160b750de9e97
coco,yolo11n,fp8,fog,5,coco-area,large,0.5507655944762213,0.5140623832725542,0.03670321120366715,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,e8b38b2131d86e93d6f4a71d4a3f71712ed9607f2fd1c85bf53160b750de9e97
coco,yolo11n,int8-entropy,gaussian_noise,1,coco-area,small,0.17863356026601016,0.16800133177248674,0.01063222849352341,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,e364548e6632b6daec660a44039540bf129a46745079f8450e2038abb04f3a8d
coco,yolo11n,int8-entropy,gaussian_noise,1,coco-area,large,0.5451938957193468,0.516633903398922,0.028559992320424832,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,e364548e6632b6daec660a44039540bf129a46745079f8450e2038abb04f3a8d
coco,yolo11n,fp8,gaussian_noise,1,coco-area,small,0.18906450018136642,0.17551349883561984,0.013551001345746577,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4f274887256e1f1dff78da1fea3d4ddecdbde0ea1fc0f55687a0d729ec0d9b90
coco,yolo11n,fp8,gaussian_noise,1,coco-area,large,0.5507655944762213,0.5174535354998632,0.03331205897635814,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4f274887256e1f1dff78da1fea3d4ddecdbde0ea1fc0f55687a0d729ec0d9b90
