dataset,model,precision,corruption,severity,clean_ap_native,corrupt_ap_native,d_native,clean_metric_sha256,corrupt_metric_sha256
coco,yolo11n,int8-entropy,gaussian_noise,1,0.3665320370711663,0.34565263145734254,0.02087940561382373,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,e364548e6632b6daec660a44039540bf129a46745079f8450e2038abb04f3a8d
coco,yolo11n,fp8,gaussian_noise,1,0.3780963381874539,0.35440124786040733,0.023695090327046586,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,4f274887256e1f1dff78da1fea3d4ddecdbde0ea1fc0f55687a0d729ec0d9b90
coco,yolo11n,int8-entropy,gaussian_noise,3,0.3665320370711663,0.26776624974072205,0.09876578733044422,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,6698342b952ac50e3eaa9bc062df78b3ba606fa315ea8e0a48ad4985a9501d15
coco,yolo11n,fp8,gaussian_noise,3,0.3780963381874539,0.27506993622447673,0.10302640196297719,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aa7d3f1b5e0e5bf07e51008093ad1b82368e1929b7dc96956823a0d5e21f121f
coco,yolo11n,int8-entropy,gaussian_noise,5,0.3665320370711663,0.11986642833736119,0.24666560873380508,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,4db57d20a732555b94b35d5e212e76a4d25b65245edecc2c6471476870c9f998
coco,yolo11n,fp8,gaussian_noise,5,0.3780963381874539,0.12829095382272443,0.2498053843647295,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,aac75a3f7166f072511fad1e403b34e5b4ef7a0053e2688ae52445225a871e16
coco,yolo11n,int8-entropy,jpeg,1,0.3665320370711663,0.3566638410088935,0.009868196062272794,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,b93eee01146662d15e0cffd78916729192a0196fa2b2d7a84f9fc2fb75029de6
coco,yolo11n,fp8,jpeg,1,0.3780963381874539,0.368240900605883,0.009855437581570925,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,93a9a5b565508f6552d0240d2f9c0298cdf3e31fc0d7978ea48d81b488ec3efc
coco,yolo11n,int8-entropy,jpeg,3,0.3665320370711663,0.3375589701256572,0.02897306694550905,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,da5face9f90751c67b0feaf0fd91b38ea02cb11ad65d26d485282a1ad01e4b76
coco,yolo11n,fp8,jpeg,3,0.3780963381874539,0.34621499897825775,0.03188133920919617,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,34203c9e162ed71de878bf322438cffc09e1b04e3ae7fbf8b561789e574b8b89
coco,yolo11n,int8-entropy,jpeg,5,0.3665320370711663,0.2164084868227273,0.15012355024843899,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,52bac03d651db828a86d28a3604737c5ae2ceaa5fa5bd0c9fc321d7592047aa6
coco,yolo11n,fp8,jpeg,5,0.3780963381874539,0.21340546786799625,0.16469087031945767,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,0baeebc601035e7c192e5cccfad8d783e255737f9088a63fd64a78364c73421f
coco,yolo11n,int8-entropy,motion_blur,1,0.3665320370711663,0.3142037282977618,0.0523283087734045,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,378f377ab5255e065e9a8d51a2571e1c471c96543d4a63553f4311589dbc749c
coco,yolo11n,fp8,motion_blur,1,0.3780963381874539,0.3232123119672406,0.05488402622021332,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c0e818bc4269ef07d9bb352a755362df750962f11e6994b739cf5b8e0f082b66
coco,yolo11n,int8-entropy,motion_blur,3,0.3665320370711663,0.14563823317259922,0.22089380389856705,50bc481795941966ca46d0cd78facca2811f0e77a83c5bcf4aa6c4c7e38487c7,2e01993e446070c988eb18165ac0c4b8cc9288e86b2684d4141e4d9f57a7bb78
coco,yolo11n,fp8,motion_blur,3,0.3780963381874539,0.14966144724872402,0.2284348909387299,52248f901ecac02b3080421d147b89c4bde8bd0ff47677db2f757b4487fe2691,c7f68cc30b88878aaaefc0afcc7fff95de2641aebba7b2dd9b9e4ec229905e05
